이름,성별,학번,차수,현재상태,생년월일,기숙사,전공,학년,기간,호실,배정방,입사일자,퇴사일자,차수시작일,차수종료일,HP,사회코드,사회명,ZIP,LINKKEY,주소
최수민,F,20184514,202301HD01,A,960512,B,[유한][UH] 의료뷰티학과,1학년,LY,02,B0806B,20210401,,20210401,20211001,010-1983-6612,S0,장애인,79012,서울시 가나구 다라동 139-79
윤은지,M,20222785,202301SC10,I,981001,B,[유한][UH] 패션디자인학과,3학년,VY,02,B0903B,20210807,,20210807,20220207,010-7818-6426,S3,통학거리,20751,서울시 가나구 다라동 47-46
윤현우,F,20225245,202301SC10,A,990721,B,미디어컨텐츠융합 자율학부,2학년,HY,02,B0904B,20200818,,20200818,20210218,010-3246-7152,S2,장기입사 희망자,92492,서울시 가나구 다라동 133-93
임지영,F,20180009,202301HD01,I,970504,B,인뭉융합 자율학부,2학년,YY,02,B0701B,20190114,,20190114,20190714,010-4184-6494,S2,장기입사 희망자,62604,서울시 가나구 다라동 97-68
최은지,F,20236345,2023SMSK02,A,980615,B,미디어컨텐츠융합 자율학부,1학년,YY,02,B0105A,20230323,,20230323,20230923,010-6397-5207,S4,일반전형,92774,서울시 가나구 다라동 149-142
박지수,M,20184744,2023SMUH02,I,971207,B,[유한][UH] 패션디자인학과,2학년,HY,02,B0701B,20210519,,20210519,20211119,010-4620-5079,S3,통학거리,59808,서울시 가나구 다라동 119-36
윤수민,M,20182206,202301HD01,I,980128,B,IT융합 자율학부,3학년,LY,02,B1009A,20210608,,20210608,20211208,010-1042-9101,S1,저소득계층,13867,서울시 가나구 다라동 36-4
박예진,F,20233911,2023SMUH02,I,980928,B,미디어컨텐츠융합 자율학부,2학년,VY,02,B0206A,20210820,,20210820,20220220,010-2801-3103,S2,장기입사 희망자,73396,서울시 가나구 다라동 69-111
정현우,F,20192798,2023SMSK02,A,991004,B,사회융합 자율학부,3학년,LY,02,B0301B,20230514,,20230514,20231114,010-3871-8934,S3,통학거리,86500,서울시 가나구 다라동 95-84
강지영,F,20219867,202301HD01,A,981221,B,인뭉융합 자율학부,2학년,LY,02,B0401B,20210807,,20210807,20220207,010-4342-7016,S3,통학거리,25076,서울시 가나구 다라동 77-135
박예슬,M,20231818,202301SC10,A,990325,B,[유한][UH] 컴퓨터소프트웨어공학과,3학년,LY,02,B0405A,20220925,,20220925,20230325,010-5432-6856,S1,저소득계층,65380,서울시 가나구 다라동 30-8
이예슬,F,20230676,2023SMUH02,A,960617,B,[유한][UH] 의료뷰티학과,2학년,HY,02,B0702A,20210606,,20210606,20211206,010-1573-6746,S2,장기입사 희망자,80751,서울시 가나구 다라동 114-37
강성우,F,20200565,2023SMUH02,A,960612,B,사회융합 자율학부,3학년,YY,02,B0601B,20210807,,20210807,20220207,010-7452-5943,S1,저소득계층,69035,서울시 가나구 다라동 111-60
김은지,F,20219833,2023SMSK02,A,970815,B,사회융합 자율학부,2학년,VY,02,B0601B,20190119,,20190119,20190719,010-1287-3386,S2,장기입사 희망자,52587,서울시 가나구 다라동 95-150
강수민,F,20188009,202301SC10,A,980327,B,사회융합 자율학부,1학년,HY,02,B0903A,20230106,,20230106,20230706,010-5360-3589,S4,일반전형,61365,서울시 가나구 다라동 82-26
강현우,M,20215823,2023SMUH02,I,981212,B,인뭉융합 자율학부,4학년,VY,02,B0108A,20201118,,20201118,20210518,010-9478-1113,S0,장애인,89957,서울시 가나구 다라동 99-27
장예진,F,20188827,202301HD01,A,981224,B,[유한][UH] 패션디자인학과,1학년,LY,02,B0202B,20220510,,20220510,20221110,010-9458-4501,S1,저소득계층,96542,서울시 가나구 다라동 66-137
강지영,M,20181379,2023SMUH02,I,970516,B,미디어컨텐츠융합 자율학부,4학년,HY,02,B0305B,20210211,,20210211,20210811,010-3825-1074,S4,일반전형,20584,서울시 가나구 다라동 53-60
